"Timestamp","How much have you currently spent?","How often do you play?","What are your spending habits?","When do you usually spend(orbs) on a banner? (just any given banner in general)","How fast do you complete quests","How do you go about getting orb rewards","Have you let pity rates over 4.25 die?","There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are $40 (USD) for 83 orbs or $36 for 75 orbs, what do you choose","Let's make a deal. You must spend $75 (USD) for 160 orb, but after you get a 5* any unused orbs from that $75 package disappear, do you buy?"
"2018/03/21 6:52:57 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","0","No","No","No","No"
"2018/03/23 6:35:08 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","70","No","No","No","No"
"2018/03/23 6:37:29 PM EST","500 - 2000","Scattered, no real patter or content based","Spend at the beginning of the month, or some periodic time","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","$36 for 75 orbs","No"
"2018/03/23 6:37:37 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","invalid","Yes","No","No","No"
"2018/03/23 6:37:59 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","100","No","No","No","No"
"2018/03/23 6:38:21 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 6:38:36 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","200","Yes","Yes","$40 (USD) for 83 orbs","No"
"2018/03/23 6:39:08 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","No","No","No","No"
"2018/03/23 6:39:35 PM EST","500 - 2000","Every other day","Spend at the beginning of the month, or some periodic time","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:39:39 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","$36 for 75 orbs","No"
