Timestamp,How much have you currently spent?,How often do you play?,What are your spending habits?,When do you usually spend(orbs) on a banner? (just any given banner in general),How fast do you complete quests,How do you go about getting orb rewards,Have you let pity rates over 4.25 die?,"There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are 2 or 1, what do you choose"
2018/03/21 6:52:57 PM EST,1,2,0,0,0,0,0,0,0,0,0
2018/03/23 6:35:08 PM EST,1,2,1,2,0,1,1,70,0,0,0
2018/03/23 6:37:29 PM EST,1,0,2,1,1,0,1,100,0,0,1
2018/03/23 6:37:37 PM EST,1,2,1,1,1,0,0,0,1,0,0
2018/03/23 6:37:59 PM EST,1,2,0,2,0,1,0,100,0,0,0
2018/03/23 6:38:21 PM EST,0,2,0,2,0,1,0,50,0,0,0
2018/03/23 6:38:36 PM EST,1,2,1,2,1,0,1,200,1,1,2
2018/03/23 6:39:08 PM EST,1,2,0,2,1,0,0,40,0,0,0
2018/03/23 6:39:35 PM EST,1,1,2,0,0,0,1,75,1,0,2
2018/03/23 6:39:39 PM EST,1,2,1,1,0,0,0,40,1,0,1
2018/03/23 6:40:01 PM EST,1,2,1,1,1,0,1,0,0,0,2
2018/03/23 6:40:12 PM EST,0,2,0,4,0,0,1,0,0,0,0
2018/03/23 6:40:18 PM EST,0,2,0,0,0,0,1,100,0,0,0
2018/03/23 6:40:40 PM EST,1,2,2,2,0,1,1,45,1,0,2
2018/03/23 6:40:56 PM EST,1,2,1,1,1,0,2,75,1,0,1
2018/03/23 6:41:16 PM EST,1,2,2,1,0,0,2,20,1,0,1
2018/03/23 6:42:02 PM EST,1,2,2,2,1,0,0,40,1,0,2
2018/03/23 6:44:14 PM EST,1,2,1,2,0,1,0,50,1,0,2
2018/03/23 6:44:43 PM EST,0,2,0,1,1,0,0,50,0,0,0
2018/03/23 6:44:47 PM EST,0,2,0,1,1,0,0,75,0,0,0
2018/03/23 6:46:35 PM EST,1,2,2,0,0,0,0,0,1,0,2
2018/03/23 6:46:58 PM EST,0,2,0,2,1,0,0,0,1,0,0
2018/03/23 6:47:19 PM EST,1,0,1,1,0,1,2,40,1,1,1
2018/03/23 6:47:46 PM EST,1,2,1,3,1,0,0,85,1,0,1
2018/03/23 6:48:52 PM EST,1,2,1,3,0,0,0,0,0,0,1
2018/03/23 6:49:10 PM EST,1,2,2,1,0,1,1,69,0,0,0
2018/03/23 6:49:34 PM EST,1,2,1,0,0,0,2,50,0,0,0
2018/03/23 6:50:27 PM EST,1,2,1,1,0,0,0,75,1,0,2
2018/03/23 6:50:42 PM EST,1,2,2,4,1,0,0,70,1,0,2
2018/03/23 6:51:16 PM EST,1,2,1,1,1,0,2,20,0,0,1
2018/03/23 6:51:17 PM EST,1,2,1,1,0,1,0,100,0,0,0
2018/03/23 6:51:37 PM EST,1,2,1,0,0,1,1,0,0,0,0
2018/03/23 6:52:27 PM EST,1,2,1,1,1,0,2,20,1,0,2
2018/03/23 6:53:35 PM EST,1,2,1,1,1,0,1,30,1,0,2
2018/03/23 6:54:14 PM EST,1,0,1,2,0,0,0,180,0,0,0
2018/03/23 6:55:10 PM EST,1,2,1,2,1,0,2,0,1,0,2
2018/03/23 6:56:06 PM EST,1,2,2,1,0,0,0,80,1,0,1
2018/03/23 6:57:24 PM EST,1,2,1,0,0,0,0,35,1,0,1
2018/03/23 6:58:40 PM EST,1,2,1,3,1,0,1,120,0,0,0
2018/03/23 6:59:40 PM EST,1,2,1,4,1,0,2,100,1,0,1
2018/03/23 6:59:46 PM EST,1,2,1,2,1,0,1,50,1,0,1
2018/03/23 6:59:47 PM EST,1,2,1,0,1,0,1,40,0,0,2
2018/03/23 6:59:48 PM EST,1,2,1,2,0,0,2,50,1,0,1
2018/03/23 7:00:00 PM EST,1,2,1,2,2,0,0,20,0,0,0
